Closest Permutation: 1010101010101010101010100000000, Ratio to starting value: 1.0136432657763386, n=31
Closest Permutation: 1010101010101010101010010000000, Ratio to starting value: 1.0136432657802448, n=31
Closest Permutation: 1010101010101010101001010000000, Ratio to starting value: 1.0136432657861043, n=31
Closest Permutation: 1010101010101010101010001000000, Ratio to starting value: 1.0136432657880574, n=31
Closest Permutation: 1010101010101010101001001000000, Ratio to starting value: 1.0136432657939167, n=31
Closest Permutation: 1010101010101010100101010000000, Ratio to starting value: 1.0136432657948933, n=31
Closest Permutation: 1010101010101010100101001000000, Ratio to starting value: 1.0136432658027057, n=31
Closest Permutation: 1010101010101010101010000100000, Ratio to starting value: 1.0136432658036822, n=31
Closest Permutation: 1010101010101010101000101000000, Ratio to starting value: 1.0136432658056354, n=31
Closest Permutation: 1010101010101010010101010000000, Ratio to starting value: 1.013643265808077, n=31
Closest Permutation: 1010101010101010101001000100000, Ratio to starting value: 1.0136432658095418, n=31
Closest Permutation: 1010101010101010100100101000000, Ratio to starting value: 1.0136432658144245, n=31
Closest Permutation: 1010101010101010010101001000000, Ratio to starting value: 1.0136432658158894, n=31
Closest Permutation: 1010101010101010100101000100000, Ratio to starting value: 1.0136432658183308, n=31
Closest Permutation: 1010101010101010101000100100000, Ratio to starting value: 1.0136432658212604, n=31
Closest Permutation: 1010101010101010010100101000000, Ratio to starting value: 1.013643265827608, n=31
Closest Permutation: 1010101010101001010101010000000, Ratio to starting value: 1.0136432658278522, n=31
Closest Permutation: 1010101010101010100100100100000, Ratio to starting value: 1.0136432658300496, n=31
Closest Permutation: 1010101010101010010101000100000, Ratio to starting value: 1.0136432658315144, n=31
Closest Permutation: 1010101010101010100010101000000, Ratio to starting value: 1.0136432658320027, n=31
Closest Permutation: 0000101010101, Ratio to starting value: 0.9492187631875, n=13
Closest Permutation: 0001001010101, Ratio to starting value: 0.94921876065625, n=13
Closest Permutation: 0010001010101, Ratio to starting value: 0.949218759390625, n=13
Closest Permutation: 0001010010101, Ratio to starting value: 0.94921875896875, n=13
Closest Permutation: 0100001010101, Ratio to starting value: 0.9492187587578125, n=13
Closest Permutation: 1000001010101, Ratio to starting value: 0.9492187584414062, n=13
Closest Permutation: 0001010100101, Ratio to starting value: 0.94921875784375, n=13
Closest Permutation: 0010010010101, Ratio to starting value: 0.949218757703125, n=13
Closest Permutation: 0001010101001, Ratio to starting value: 0.94921875709375, n=13
Closest Permutation: 0100010010101, Ratio to starting value: 0.9492187570703124, n=13
Closest Permutation: 0010100010101, Ratio to starting value: 0.949218756859375, n=13
Closest Permutation: 1000010010101, Ratio to starting value: 0.9492187567539062, n=13
Closest Permutation: 0001010101010, Ratio to starting value: 0.94921875659375, n=13
Closest Permutation: 0010010100101, Ratio to starting value: 0.949218756578125, n=13
Closest Permutation: 0100100010101, Ratio to starting value: 0.9492187562265625, n=13
Closest Permutation: 0100010100101, Ratio to starting value: 0.9492187559453125, n=13
Closest Permutation: 1000100010101, Ratio to starting value: 0.9492187559101563, n=13
Closest Permutation: 0010010101001, Ratio to starting value: 0.949218755828125, n=13
Closest Permutation: 0101000010101, Ratio to starting value: 0.9492187558046875, n=13
Closest Permutation: 0010100100101, Ratio to starting value: 0.949218755734375, n=13
Closest Permutation: 101010101010100000, Ratio to starting value: 1.0678710947553711, n=18
Closest Permutation: 101010101010010000, Ratio to starting value: 1.067871094786621, n=18
Closest Permutation: 101010101001010000, Ratio to starting value: 1.0678710948334962, n=18
Closest Permutation: 101010101010001000, Ratio to starting value: 1.067871094849121, n=18
Closest Permutation: 101010101001001000, Ratio to starting value: 1.0678710948959962, n=18
Closest Permutation: 101010100101010000, Ratio to starting value: 1.0678710949038086, n=18
Closest Permutation: 101010100101001000, Ratio to starting value: 1.0678710949663086, n=18
Closest Permutation: 101010101010000100, Ratio to starting value: 1.067871094974121, n=18
Closest Permutation: 101010101000101000, Ratio to starting value: 1.067871094989746, n=18
Closest Permutation: 101010010101010000, Ratio to starting value: 1.0678710950092773, n=18
Closest Permutation: 101010101001000100, Ratio to starting value: 1.0678710950209962, n=18
Closest Permutation: 101010100100101000, Ratio to starting value: 1.0678710950600585, n=18
Closest Permutation: 101010010101001000, Ratio to starting value: 1.0678710950717774, n=18
Closest Permutation: 101010100101000100, Ratio to starting value: 1.0678710950913086, n=18
Closest Permutation: 101010101000100100, Ratio to starting value: 1.067871095114746, n=18
Closest Permutation: 101010010100101000, Ratio to starting value: 1.0678710951655273, n=18
